,stock_code,release_date,report_year
629,00913.HK,2018-04-26,2017
630,01265.HK,2018-04-26,2017
631,01132.HK,2018-04-26,2017
632,02371.HK,2018-04-26,2017
633,06830.HK,2018-04-26,2017
634,02222.HK,2018-04-26,2017
635,00588.HK,2018-04-26,2017
636,01037.HK,2018-04-26,2017
637,00757.HK,2018-04-26,2017
638,01568.HK,2018-04-26,2017
639,03699.HK,2018-04-26,2017
640,02098.HK,2018-04-27,2017
641,00689.HK,2018-04-27,2017
642,01383.HK,2018-04-27,2017
643,00459.HK,2018-04-27,2017
644,01200.HK,2018-04-27,2017
645,01263.HK,2018-04-27,2017
646,06198.HK,2018-04-27,2017
647,00365.HK,2018-04-27,2017
648,00489.HK,2018-04-27,2017
649,00553.HK,2018-04-27,2017
650,01011.HK,2018-04-27,2017
651,00834.HK,2018-04-27,2017
652,01129.HK,2018-04-27,2017
653,01898.HK,2018-04-27,2017
654,00055.HK,2018-04-27,2017
655,00196.HK,2018-04-27,2017
656,00487.HK,2018-04-27,2017
657,01565.HK,2018-04-27,2017
658,01010.HK,2018-04-27,2017
659,01121.HK,2018-04-27,2017
660,00505.HK,2018-04-27,2017
661,00707.HK,2018-04-27,2017
662,00593.HK,2018-04-27,2017
663,01658.HK,2018-04-27,2017
664,03380.HK,2018-04-27,2017
665,03303.HK,2018-04-27,2017
666,03313.HK,2018-04-27,2017
667,00840.HK,2018-04-27,2017
668,00009.HK,2018-04-27,2017
669,02338.HK,2018-04-27,2017
670,00988.HK,2018-04-27,2017
671,01361.HK,2018-04-27,2017
672,01638.HK,2018-04-27,2017
673,01145.HK,2018-04-27,2017
674,02362.HK,2018-04-27,2017
675,01026.HK,2018-04-27,2017
676,00007.HK,2018-04-27,2017
677,00718.HK,2018-04-27,2017
678,01141.HK,2018-04-27,2017
679,01196.HK,2018-04-27,2017
680,00861.HK,2018-04-27,2017
681,00235.HK,2018-04-27,2017
682,00575.HK,2018-04-27,2017
683,01387.HK,2018-04-27,2017
684,02112.HK,2018-04-27,2017
685,01000.HK,2018-04-27,2017
686,02337.HK,2018-04-27,2017
687,00719.HK,2018-04-27,2017
688,01207.HK,2018-04-27,2017
689,01432.HK,2018-04-27,2017
690,01720.HK,2018-04-27,2017
691,00289.HK,2018-04-27,2017
692,00400.HK,2018-04-27,2017
693,02100.HK,2018-04-27,2017
694,00628.HK,2018-04-27,2017
695,01418.HK,2018-04-27,2017
696,00623.HK,2018-04-27,2017
697,00117.HK,2018-04-27,2017
698,02002.HK,2018-04-27,2017
699,01417.HK,2018-04-27,2017
700,00811.HK,2018-04-27,2017
701,02866.HK,2018-04-27,2017
702,00136.HK,2018-04-27,2017
703,00882.HK,2018-04-27,2017
704,00980.HK,2018-04-27,2017
705,00712.HK,2018-04-27,2017
706,02286.HK,2018-04-27,2017
707,01101.HK,2018-04-27,2017
708,00076.HK,2018-04-27,2017
709,01358.HK,2018-04-27,2017
710,01532.HK,2018-04-27,2017
711,02355.HK,2018-04-27,2017
712,00872.HK,2018-04-27,2017
713,00360.HK,2018-04-27,2017
714,00880.HK,2018-04-27,2017
715,02011.HK,2018-04-27,2017
716,02358.HK,2018-04-27,2017
717,00934.HK,2018-04-27,2017
718,01102.HK,2018-04-27,2017
719,01919.HK,2018-04-27,2017
720,00128.HK,2018-04-27,2017
721,03686.HK,2018-04-27,2017
722,03606.HK,2018-04-27,2017
723,00888.HK,2018-04-27,2017
724,06088.HK,2018-04-29,2017
725,01918.HK,2018-04-29,2017
726,01027.HK,2018-04-30,2017
727,01281.HK,2018-04-30,2017
728,00755.HK,2018-04-30,2017
729,03836.HK,2018-04-30,2017
730,01003.HK,2018-04-30,2017
731,00708.HK,2018-04-30,2017
732,00568.HK,2018-04-30,2017
733,00974.HK,2018-04-30,2017
734,01069.HK,2018-04-30,2017
735,00979.HK,2018-04-30,2017
736,01800.HK,2018-04-30,2017
737,00387.HK,2018-04-30,2017
738,00750.HK,2018-04-30,2017
739,03886.HK,2018-04-30,2017
740,00726.HK,2018-04-30,2017
741,02608.HK,2018-04-30,2017
742,00529.HK,2018-04-30,2017
743,00286.HK,2018-04-30,2017
744,01518.HK,2018-04-30,2017
745,00760.HK,2018-04-30,2017
746,01488.HK,2018-04-30,2017
747,01616.HK,2018-05-03,2017
748,01578.HK,2018-05-03,2017
749,03889.HK,2018-05-04,2017
750,00809.HK,2018-05-04,2017
751,01910.HK,2018-05-07,2017
752,01202.HK,2018-05-07,2017
753,02016.HK,2018-05-08,2017
754,02018.HK,2018-05-09,2017
755,01799.HK,2018-05-09,2017
756,03618.HK,2018-05-10,2017
757,00168.HK,2018-05-11,2017
758,08426.HK,2018-05-11,2017
759,02030.HK,2018-05-11,2017
760,08481.HK,2018-05-11,2017
761,02007.HK,2018-05-14,2017
762,08491.HK,2018-05-14,2018
763,01480.HK,2018-05-14,2017
764,01093.HK,2018-05-14,2017
765,01008.HK,2018-05-14,2017
766,03369.HK,2018-05-14,2017
767,08329.HK,2018-05-14,2017
768,00778.HK,2018-05-15,2017
769,00900.HK,2018-05-15,2017
770,02378.HK,2018-05-16,2017
771,08420.HK,2018-05-17,2017
772,00626.HK,2018-05-17,2017
