file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
0573.HK,3,7,77,6,4,3,6,0,4,0,0,0,4,4,6,0,7,5,4,45,40,59,00573.pdf,100
3868.HK,35,40,59,39,26,84,42,8,3,0,0,0,3,32,50,8,37,32,26,60,55,51,03868.pdf,100
2060.HK,42,31,78,35,16,19,28,4,16,0,0,14,16,18,23,4,29,27,16,74,73,44,02060.pdf,100
9995.HK,17,20,71,23,11,6,14,2,0,0,0,0,0,12,25,2,27,20,11,62,47,44,09995.pdf,100
1262.HK,16,15,76,19,6,5,8,3,12,0,0,0,12,6,12,3,17,17,6,67,52,41,01262.pdf,100
8191.HK,3,3,82,4,1,1,4,0,1,33,33,0,1,5,3,0,9,4,1,66,52,42,08191.pdf,100
9982.HK,19,24,67,23,9,15,13,4,8,0,0,9,8,15,16,4,29,20,9,57,52,53,09982.pdf,100
1991.HK,5,6,79,9,3,1,5,1,0,0,0,0,0,8,9,1,7,6,3,62,34,37,01991.pdf,100
2007.HK,45,51,53,60,22,24,25,14,17,0,0,14,17,23,46,14,50,55,22,63,46,42,02007.pdf,100
1198.HK,7,13,72,12,9,12,16,3,1,0,0,0,1,8,10,3,12,11,9,50,37,52,01198.pdf,100
